distribution,rate,clip,forecaster,target,exact_bias,exact_variance,exact_rmse,mc_bias,mc_rmse,p50,p95,p99,mean_ess,max_weight,top_forecaster_recovery
"[1, 2, 4, 8]",0.1,,0,0.7536951666666667,0.0,0.010981599518141224,0.10479312724669125,0.0003764269890657035,0.1047050739503032,0.7512409278899999,0.9393807664149999,1.0091565194399996,40.00618357854629,45.156359999999985,0.45
"[1, 2, 4, 8]",0.1,,1,0.7241116666666666,0.0,0.010395369527331916,0.10195768498417329,0.001787944940288222,0.10194938211978863,0.7212475581649999,0.9101311745599999,0.9954626191299999,40.00618357854629,45.156359999999985,0.45
"[1, 2, 4, 8]",0.1,,2,0.7543553551776685,0.0,0.010746562023137916,0.10366562604420965,0.0006920370198523207,0.10388424404385169,0.751198475315,0.9400792271937168,1.0139012340182028,40.00618357854629,45.156359999999985,0.45
"[1, 2, 4, 8]",0.1,10,0,0.7536951666666667,-0.20356887745676344,0.003114565418949884,0.21108020581749642,-0.2025035403374177,0.20978865737123598,0.5516718779299999,0.6464960784483332,0.6834117956066666,59.75661261700997,10,0.538
"[1, 2, 4, 8]",0.1,10,1,0.7241116666666666,-0.193026045699078,0.0030700317196099085,0.20082102986946473,-0.19150777910404504,0.19907818139187897,0.532130422395,0.6249520929099999,0.6692420434074999,59.75661261700997,10,0.538
"[1, 2, 4, 8]",0.1,10,2,0.7543553551776685,-0.20223501587926307,0.0031155158081232572,0.20979637140763194,-0.2011061920970698,0.2084681639838083,0.5525706610991666,0.6469643036216666,0.68462530959375,59.75661261700997,10,0.538
"[1, 2, 4, 8]",0.1,50,0,0.7536951666666667,0.0,0.010981599518141224,0.10479312724669125,0.0003764269890657035,0.1047050739503032,0.7512409278899999,0.9393807664149999,1.0091565194399996,40.00618357854629,45.156359999999985,0.45
"[1, 2, 4, 8]",0.1,50,1,0.7241116666666666,0.0,0.010395369527331916,0.10195768498417329,0.001787944940288222,0.10194938211978863,0.7212475581649999,0.9101311745599999,0.9954626191299999,40.00618357854629,45.156359999999985,0.45
"[1, 2, 4, 8]",0.1,50,2,0.7543553551776685,0.0,0.010746562023137916,0.10366562604420965,0.0006920370198523207,0.10388424404385169,0.751198475315,0.9400792271937168,1.0139012340182028,40.00618357854629,45.156359999999985,0.45
"[1, 2, 4, 8]",0.1,100,0,0.7536951666666667,0.0,0.010981599518141224,0.10479312724669125,0.0003764269890657035,0.1047050739503032,0.7512409278899999,0.9393807664149999,1.0091565194399996,40.00618357854629,45.156359999999985,0.45
"[1, 2, 4, 8]",0.1,100,1,0.7241116666666666,0.0,0.010395369527331916,0.10195768498417329,0.001787944940288222,0.10194938211978863,0.7212475581649999,0.9101311745599999,0.9954626191299999,40.00618357854629,45.156359999999985,0.45
"[1, 2, 4, 8]",0.1,100,2,0.7543553551776685,0.0,0.010746562023137916,0.10366562604420965,0.0006920370198523207,0.10388424404385169,0.751198475315,0.9400792271937168,1.0139012340182028,40.00618357854629,45.156359999999985,0.45
